2957,,,,,,,,,
Clock Time,Process ID,Total Time,Ready Time,CPU Time,IO Time,Wait Time,CPU Util,CPU/IO,Run/Idle
,0,195,0,169,25,0,86.67,6.76,0
,1,180,0,154,25,0,85.56,6.16,0
,2,132,0,111,20,0,84.09,5.55,0
,3,158,0,132,25,0,83.54,5.28,0
,4,167,0,146,20,0,87.43,7.3,0
,5,213,0,182,30,0,85.45,6.07,0
,6,139,0,118,20,0,84.89,5.9,0
,7,150,0,129,20,0,86.0,6.45,0
,8,167,0,141,25,0,84.43,5.64,0
,9,205,0,179,25,0,87.32,7.16,0
,10,134,0,113,20,0,84.33,5.65,0
,11,217,0,191,25,0,88.02,7.64,0
,12,193,0,162,30,0,83.94,5.4,0
,13,206,0,175,30,0,84.95,5.83,0
,14,134,0,113,20,0,84.33,5.65,0
,15,199,0,168,30,0,84.42,5.6,0
,16,150,0,129,20,0,86.0,6.45,0
,17,186,0,160,25,0,86.02,6.4,0
,18,225,0,194,30,0,86.22,6.47,0
,19,140,0,119,20,0,85.0,5.95,0
