2342,,,,,,,,,
Clock Time,Process ID,Total Time,Ready Time,CPU Time,IO Time,Wait Time,CPU Util,CPU/IO,Run/Idle
,0,1614,1276,133,159,45,8.24,0.84,0.22
,1,1626,1236,147,172,70,9.04,0.85,0.24
,2,1683,1309,136,161,76,8.08,0.84,0.21
,3,1136,886,88,95,66,7.75,0.93,0.19
,4,2108,1818,115,129,45,5.46,0.89,0.13
,5,2272,1939,126,145,61,5.55,0.87,0.14
,6,1706,1510,81,98,16,4.75,0.83,0.12
,7,1632,1409,87,108,27,5.33,0.81,0.14
,8,1972,1702,98,111,60,4.97,0.88,0.12
,9,2228,1955,117,128,27,5.25,0.91,0.12
,10,1314,1010,108,110,85,8.22,0.98,0.2
,11,1944,1751,86,97,9,4.42,0.89,0.1
,12,1916,1619,123,142,31,6.42,0.87,0.16
,13,2335,1982,146,176,30,6.25,0.83,0.16
,14,1812,1365,171,192,83,9.44,0.89,0.25
,15,1207,905,108,110,83,8.95,0.98,0.22
,16,1103,847,82,98,75,7.43,0.84,0.2
,17,1872,1435,159,193,84,8.49,0.82,0.23
,18,1535,1274,83,99,78,5.41,0.84,0.13
,19,2081,1817,106,122,35,5.09,0.87,0.12
