2756,,,,,,,,,
Clock Time,Process ID,Total Time,Ready Time,CPU Time,IO Time,Wait Time,CPU Util,CPU/IO,Run/Idle
,0,350,0,131,218,0,37.43,0.6,0
,1,363,0,125,237,0,34.44,0.53,0
,2,243,0,90,152,0,37.04,0.59,0
,3,452,0,154,297,0,34.07,0.52,0
,4,444,0,155,288,0,34.91,0.54,0
,5,238,0,92,145,0,38.66,0.63,0
,6,384,0,148,235,0,38.54,0.63,0
,7,483,0,186,296,0,38.51,0.63,0
,8,456,0,159,296,0,34.87,0.54,0
,9,448,0,155,292,0,34.6,0.53,0
,10,317,0,119,197,0,37.54,0.6,0
,11,266,0,98,167,0,36.84,0.59,0
,12,400,0,153,246,0,38.25,0.62,0
,13,484,0,166,317,0,34.3,0.52,0
,14,399,0,135,263,0,33.83,0.51,0
,15,214,0,84,129,0,39.25,0.65,0
,16,471,0,163,307,0,34.61,0.53,0
,17,274,0,103,170,0,37.59,0.61,0
,18,216,0,85,130,0,39.35,0.65,0
,19,315,0,116,198,0,36.83,0.59,0
